"ListID","ItemID","BlockID","BTrial","Audio","Type"
2,55,10,1,"wavs/mark/55.wav","filler"
2,56,10,2,"wavs/mark/56.wav","filler"
2,57,10,3,"wavs/mark/57.wav","filler"
2,58,10,4,"wavs/mark/58.wav","filler"
2,169,10,5,"wavs/kate/60umB.wav","test"
2,61,11,1,"wavs/mark/61.wav","filler"
2,62,11,2,"wavs/mark/62.wav","filler"
2,63,11,3,"wavs/mark/63.wav","filler"
2,64,11,4,"wavs/mark/64.wav","filler"
2,212,11,6,"wavs/kate/66umE.wav","test"
2,67,12,1,"wavs/mark/67.wav","filler"
2,68,12,2,"wavs/mark/68.wav","filler"
2,69,12,3,"wavs/mark/69.wav","filler"
2,70,12,4,"wavs/mark/70.wav","filler"
2,214,12,6,"wavs/kate/72umB.wav","test"
2,73,13,1,"wavs/kate/73.wav","filler"
2,74,13,2,"wavs/kate/74.wav","filler"
2,75,13,3,"wavs/kate/75.wav","filler"
2,76,13,4,"wavs/kate/76.wav","filler"
2,216,13,6,"wavs/kate/77uhE.wav","filler"
2,79,14,1,"wavs/kate/79.wav","filler"
2,80,14,2,"wavs/kate/80.wav","filler"
2,81,14,3,"wavs/kate/81.wav","filler"
2,82,14,4,"wavs/kate/82.wav","filler"
2,218,14,6,"wavs/kate/83uhE.wav","filler"
2,85,15,1,"wavs/kate/85.wav","filler"
2,86,15,2,"wavs/kate/86.wav","filler"
2,87,15,3,"wavs/kate/87.wav","filler"
2,88,15,4,"wavs/kate/88.wav","filler"
2,220,15,6,"wavs/kate/89uhE.wav","filler"
2,91,16,1,"wavs/kate/91.wav","filler"
2,92,16,2,"wavs/kate/92.wav","filler"
2,93,16,3,"wavs/kate/93.wav","filler"
2,94,16,4,"wavs/kate/94.wav","filler"
2,222,16,6,"wavs/kate/95uhE.wav","filler"
2,97,17,1,"wavs/kate/97.wav","filler"
2,98,17,2,"wavs/kate/98.wav","filler"
2,99,17,3,"wavs/kate/99.wav","filler"
2,100,17,4,"wavs/kate/100.wav","filler"
2,224,17,6,"wavs/kate/101.wav","filler"
2,103,18,1,"wavs/kate/103.wav","filler"
2,104,18,2,"wavs/kate/104.wav","filler"
2,105,18,3,"wavs/kate/105.wav","filler"
2,106,18,4,"wavs/kate/106.wav","filler"
2,226,18,6,"wavs/kate/107uhE.wav","filler"
2,121,21,1,"wavs/mark/121.wav","filler"
2,122,21,2,"wavs/mark/122.wav","filler"
2,123,21,3,"wavs/mark/123.wav","filler"
2,124,21,4,"wavs/mark/124.wav","filler"
2,125,21,5,"wavs/kate/122.wav","filler"
2,126,22,1,"wavs/mark/126.wav","filler"
2,127,22,2,"wavs/mark/127.wav","filler"
2,128,22,3,"wavs/mark/128.wav","filler"
2,129,22,4,"wavs/mark/129.wav","filler"
2,130,22,5,"wavs/kate/127.wav","filler"
2,131,23,1,"wavs/mark/131.wav","filler"
2,132,23,2,"wavs/mark/132.wav","filler"
2,133,23,3,"wavs/mark/133.wav","filler"
2,134,23,4,"wavs/mark/134.wav","filler"
2,135,23,5,"wavs/kate/132.wav","filler"
2,136,24,1,"wavs/mark/136.wav","filler"
2,137,24,2,"wavs/mark/137.wav","filler"
2,138,24,3,"wavs/mark/138.wav","filler"
2,139,24,4,"wavs/mark/139.wav","filler"
2,140,24,5,"wavs/kate/137.wav","filler"
2,141,25,1,"wavs/mark/141.wav","filler"
2,142,25,2,"wavs/mark/142.wav","filler"
2,143,25,3,"wavs/mark/143.wav","filler"
2,144,25,4,"wavs/mark/144.wav","filler"
2,145,25,5,"wavs/kate/142.wav","filler"
2,146,26,1,"wavs/mark/146.wav","filler"
2,147,26,2,"wavs/mark/147.wav","filler"
2,148,26,3,"wavs/mark/148.wav","filler"
2,149,26,4,"wavs/mark/149.wav","filler"
2,150,26,5,"wavs/kate/147.wav","filler"
3,1,1,1,"wavs/mark/1.wav","filler"
3,2,1,2,"wavs/mark/2.wav","filler"
3,3,1,3,"wavs/mark/3.wav","filler"
3,4,1,4,"wavs/mark/4.wav","filler"
3,151,1,5,"wavs/kate/6umB.wav","test"
3,7,2,1,"wavs/mark/7.wav","filler"
3,8,2,2,"wavs/mark/8.wav","filler"
3,9,2,3,"wavs/mark/9.wav","filler"
3,10,2,4,"wavs/mark/10.wav","filler"
3,153,2,5,"wavs/kate/12umB.wav","test"
3,13,3,1,"wavs/mark/13.wav","filler"
3,14,3,2,"wavs/mark/14.wav","filler"
3,15,3,3,"wavs/mark/15.wav","filler"
3,16,3,4,"wavs/mark/16.wav","filler"
3,155,3,5,"wavs/kate/18umB.wav","test"
3,19,4,1,"wavs/kate/19.wav","filler"
3,20,4,2,"wavs/kate/20.wav","filler"
3,21,4,3,"wavs/kate/21.wav","filler"
3,22,4,4,"wavs/kate/22.wav","filler"
